"proname","groname"
"2010 - MARGARITA","105 - PIZZA GRANDE"
"2013 - GREGA","105 - PIZZA GRANDE"
"2007 -  HAVAIANA","105 - PIZZA GRANDE"
"2017 - NAPOLITANA","105 - PIZZA GRANDE"
"2021 -  FILÉ MIGNON","105 - PIZZA GRANDE"
"2001 - CALABRESA","105 - PIZZA GRANDE"
"2005 - PORTUGUESA","105 - PIZZA GRANDE"
"2015 - MUSSARELA","105 - PIZZA GRANDE"
"2002 - PRESUNTO","105 - PIZZA GRANDE"
"2028 - BANANA","105 - PIZZA GRANDE"
"2018 -  FILÉ DE FRANGO COM CATUPIRY","105 - PIZZA GRANDE"
"2019 -  FILÉ MIGNON COM CATUPIRY","105 - PIZZA GRANDE"
"2008 -  ATUM","105 - PIZZA GRANDE"
"2003 -  CARIOCA","105 - PIZZA GRANDE"
"2006 - 3 QUEIJOS","105 - PIZZA GRANDE"
"2012  FRANCESA","105 - PIZZA GRANDE"
"2004 -  FILÉ DE FRANGO DESFIADO","105 - PIZZA GRANDE"
"2009 - BACON","105 - PIZZA GRANDE"
"2011 - EUROPEIA","105 - PIZZA GRANDE"
"2014 - JARDINEIRA","105 - PIZZA GRANDE"
"2016 -  ALHO E OLEO","105 - PIZZA GRANDE"
"14 POPATO SKIN","ACOMPANHAMENTO"
"12 BATATA RÚSTICA FRITA","ACOMPANHAMENTO"
"10 Pasta Cheese","ACOMPANHAMENTO"
"13 BATATA RÚSTICA FRITA ESPECIAL","ACOMPANHAMENTO"
"11 Pasta cheese bacon especial2100","ACOMPANHAMENTO"
"15 ONION RINGS","ACOMPANHAMENTO"
"Purê de batatas","Acompanhamentos"
"Arroz branco","Acompanhamentos"
"Legumes salteados no azeite","Acompanhamentos"
"Batatas fritas","Acompanhamentos"
"Farofa simples","Acompanhamentos"
"Chips de mandioca","Acompanhamentos"
"Molho de alho em lâminas frito","Acompanhamentos"
"Molho de alho e óleo","Acompanhamentos"
"Molho madeira","Acompanhamentos"
"Legumes salteados no azeite","Acompanhamentos"
"Farofa de ovos","Acompanhamentos"
"Cebola frita à moda do chef","Acompanhamentos"
"Arroz à grega","Acompanhamentos"
"Purê de batatas","Acompanhamentos"
"Chips de mandioca","Acompanhamentos"
"Legumes salteados na manteiga","Acompanhamentos"
"Batatas fritas","Acompanhamentos"
"Farofa simples","Acompanhamentos"
"Arroz branco","Acompanhamentos"
"Molho madeira","Acompanhamentos"
"Arroz à grega","Acompanhamentos"
"Batata-frita","Acompanhamentos"
"Tiras de Frango Crispy","Acompanhamentos"
"Batata-frita com Tempero Cajun","Acompanhamentos"
"Chilly nachos","Acompanhamentos"
"Farofa de ovos","Acompanhamentos"
"Cebola frita à moda do chef","Acompanhamentos"
" Porção de batata frita (200g)","ACOMPANHAMENTOS"
"Onion rings","ACOMPANHAMENTOS"
" Batata bacon flakes (porção)","ACOMPANHAMENTOS"
" alface ","Adicionais"
" picles ","Adicionais"
"Bacon","Adicionais"
"Carne Extra + Queijo","Adicionais"
" cebola caramelizada ","Adicionais"
"Abacaxi ","Adicionais"
"Arroz com brócolis 250g","Adicionais"
"pimentão salteados","Adicionais"
"Farofa 250g","Adicionais"
"Batata frita pequena","Adicionais"
" tomate ","Adicionais"
"Arroz branco 250g","Adicionais"
"Maionese 250g","Adicionais"
"Queijo","Adicionais"
"Muçarela","Adicionais"
"Adicional de Batata Palha","Adicional a parte"
"Sachê Ketchup Heinz","Adicional a parte"
"Adicional de Queijo Cheddar no copo","Adicional a parte"
"Adicional de Queijo Parmesão no copo","Adicional a parte"
"Sachê Maionese Heinz","Adicional a parte"
"Adicional de Maionese de Tabasco no copo","Adicional a parte"
"Adicional de barbecue no copo","Adicional a parte"
"Adicional de Maionese Defumada no copo","Adicional a parte"
"Adicional de Mostarda no copo","Adicional a parte"
"Adicional de farofa de bacon no copo","Adicional a parte"
"Yara Água com Gás 350 ml","Água"
"Água nossa água ","Água"
"Yara 2 litros","Água"
"Sem Gás","Água"
"Com Gás","Água"
"Yara 350 ml","Água"
"agua yara","Água"
"Yara Garrafão 20L","Água"
"Águacrim Garrafão 20L","Água"
"Garrafão de água  20L","Água "
"Garrafão de Água ","Água  "
"Alambre (2 pessoa)","Alambre"
"Alambre (1 pessoa)","Alambre"
"Berinjela recheada","À Moda Da Casa"
"Polpetone recheado com muçarela","À Moda Da Casa"
"ARGAMASSA CIMENTCOLA EXTERNO E INTERNO QUARTZOLIT 20KG ACII 1912","Argamassas & Rejuntes"
"ARGAMASSA PISO SOBRE PISO INTERNO BRANCO QUARTZOLIT 20KG 1914","Argamassas & Rejuntes"
